AutoNumber,Fish,Hydrophone,x,y,treatment
1,1,1,1,1,1
2,1,2,1,5,1
3,1,1,1,1,1
4,1,2,1,5,1
5,1,1,1,1,1
6,1,2,1,5,1
7,1,1,1,1,1
8,2,3,3,1,1
9,2,4,3,5,1
10,2,3,3,1,1
11,2,4,3,5,1
12,2,3,3,1,1
13,2,4,3,5,1
14,3,5,5,5,1
15,3,6,5,10,1
16,3,5,5,5,1
17,3,6,5,10,1
18,3,5,5,5,1
19,3,6,5,10,1
20,3,5,5,5,1
21,3,6,5,10,1
22,3,5,5,5,1
23,3,6,5,10,1
24,3,5,5,5,1
25,3,6,5,10,1
26,3,5,5,5,1
27,3,6,5,10,1
28,3,5,5,5,1
29,3,6,5,10,1
30,3,5,5,5,1
31,3,6,5,10,1
32,4,7,2,8,1
33,4,8,8,8,1
34,4,7,2,8,1
35,4,8,8,8,1
36,4,7,2,8,1
37,4,8,8,8,1
38,3,6,5,10,2
39,3,5,5,5,2
40,3,6,5,10,2
41,3,5,5,5,2
42,3,6,5,10,2
43,3,5,5,5,2
44,3,6,5,10,2
45,3,5,5,5,2
46,3,6,5,10,2
47,3,5,5,5,2
48,3,6,5,10,2
49,3,5,5,5,2
50,3,6,5,10,2
51,3,5,5,5,2
52,3,6,5,10,2
53,3,5,5,5,2
54,3,6,5,10,2
55,5,9,6,6,2
56,5,9,6,6,2
57,5,9,6,6,2
58,5,9,6,6,2
59,5,9,6,6,2
60,5,9,6,6,2
61,5,9,6,6,2
62,5,9,6,6,2
63,5,9,6,6,2
64,5,9,6,6,2
65,5,9,6,6,2
66,5,9,6,6,2
67,5,9,6,6,2
68,5,9,6,6,2
69,5,9,6,6,2
70,5,9,6,6,2
71,5,9,6,6,2
72,5,9,6,6,2
73,5,9,6,6,2
74,5,9,6,6,2
75,5,9,6,6,2
76,5,9,6,6,2
77,5,9,6,6,2
78,5,9,6,6,2
79,5,9,6,6,2
80,5,9,6,6,2
81,5,9,6,6,2
82,5,9,6,6,2
83,5,9,6,6,2
84,5,9,6,6,2
85,5,9,6,6,2
86,5,9,6,6,2
87,5,9,6,6,2
88,5,9,6,6,2
89,5,9,6,6,2
90,5,9,6,6,2
91,5,9,6,6,2
92,5,9,6,6,2
93,5,9,6,6,2
94,5,9,6,6,2
95,5,9,6,6,2
96,5,9,6,6,2
97,5,9,6,6,2
98,5,9,6,6,2
99,5,9,6,6,2
100,5,9,6,6,2
101,5,9,6,6,2
102,5,9,6,6,2
103,5,9,6,6,2
104,5,9,6,6,2
105,5,9,6,6,2
106,5,9,6,6,2
107,5,9,6,6,2
108,5,9,6,6,2
109,5,9,6,6,2
110,5,9,6,6,2
111,5,9,6,6,2
112,5,9,6,6,2
113,5,9,6,6,2
114,5,9,6,6,2
115,5,9,6,6,2
116,5,9,6,6,2
117,5,9,6,6,2
118,5,9,6,6,2
